trial,stimF,stimA,tailamp,tailampcm,tailperiod,tailfreq
04,10,16,200.923716606176,4.70547345681912,6.4,0.15625
04,10,16,219.300344597327,5.13583945192802,6.33333333333333,0.157894736842105
04,10,16,165.733331998701,3.88134266975881,NaN,NaN
05,14,16,108.468399876259,3.13855323716027,1.6,0.625
05,14,16,116.131370969677,3.36028272481704,1.2,0.833333333333333
05,14,16,135.469943445597,3.91984790062492,1.7,0.588235294117647
05,14,16,148.632448110418,4.30070741060238,2.1,0.476190476190476
05,14,16,97.5675309479478,2.82313457604016,1.43333333333333,0.697674418604651
05,14,16,113.330314814508,3.27923364625314,1.23333333333333,0.810810810810811
05,14,16,142.795970661206,4.13182785478025,1.63333333333333,0.612244897959184
05,14,16,173.7197140519,5.02661209640915,NaN,NaN
07,14,17,244.617859350724,5.16420071252161,1.8,0.555555555555556
07,14,17,215.556020076326,4.55066754087836,1.23333333333333,0.810810810810811
07,14,17,240.336937877188,5.07382490029531,1.5,0.666666666666667
07,14,17,181.316516196631,3.82782714483684,1.06666666666667,0.9375
07,14,17,232.353583240488,4.90528591539622,1.53333333333333,0.652173913043478
07,14,17,179.73711814131,3.79448400061877,NaN,NaN
08,14,18,139.22859341074,3.98832946835315,1.5,0.666666666666667
08,14,18,149.476358458783,4.28188600242868,1.36666666666667,0.731707317073171
08,14,18,170.41001921921,4.88154972125268,1.5,0.666666666666667
08,14,18,156.403959747307,4.48033343112971,1.3,0.769230769230769
08,14,18,187.634137817931,5.37495023684239,1.36666666666667,0.731707317073171
08,14,18,149.055537218641,4.26983119592774,1.06666666666667,0.9375
08,14,18,155.563245638866,4.45625041218214,1.4,0.714285714285714
08,14,18,154.310973680323,4.42037794495181,1.16666666666667,0.857142857142857
08,14,18,147.745254789275,4.23229696609113,NaN,NaN
09,14,19,147.09021116083,4.41235334655717,1.23333333333333,0.810810810810811
09,14,19,115.780183750511,3.47312766230235,1.2,0.833333333333333
09,14,19,145.800917286554,4.37367762438667,1.26666666666667,0.789473684210526
09,14,19,119.996432423741,3.59960500431189,0.933333333333333,1.07142857142857
09,14,19,175.568413849287,5.26663108499182,1.36666666666667,0.731707317073171
09,14,19,128.518006459778,3.85523177525132,1.03333333333333,0.967741935483871
09,14,19,190.144252953393,5.70387127889947,1.96666666666667,0.508474576271186
09,14,19,136.657604719212,4.09940018956118,1.16666666666667,0.857142857142857
09,14,19,162.988295119308,4.8892577129622,NaN,NaN
10,14,20,157.722292137904,4.27535963074744,1.16666666666667,0.857142857142857
10,14,20,147.547590111319,3.9995551790767,1.7,0.588235294117647
10,14,20,132.139362701844,3.58188617011857,1.06666666666667,0.9375
10,14,20,138.472337550792,3.75355337482834,1.33333333333333,0.75
10,14,20,184.290264488613,4.99553453385955,1.2,0.833333333333333
10,14,20,151.056266574503,4.09466445947529,1.7,0.588235294117647
10,14,20,231.398120040174,6.27248163617615,1.56666666666667,0.638297872340426
10,14,20,154.562955348706,4.18971985982235,1.36666666666667,0.731707317073171
10,14,20,216.28462138744,5.8628018049779,NaN,NaN
15,20,16,120.051966116332,2.99807622097075,0.966666666666667,1.03448275862069
15,20,16,154.911436016003,3.86862712623937,0.866666666666667,1.15384615384615
15,20,16,173.71809538769,4.3382887243136,0.933333333333333,1.07142857142857
15,20,16,128.984066888215,3.22113894783644,0.9,1.11111111111111
15,20,16,161.786292254099,4.04031396883597,0.666666666666667,1.5
15,20,16,124.510729058842,3.10942559395754,NaN,NaN
